Company,Shares,Value,Ticker
"DENTSPLY SIRONA, Inc.",1415192,38408312,XRAY
"Universal Health Services, Inc., Class B",215055,45970157,UHS
"Shell PLC, ADR",642498,47043703,SHEL
"GE HealthCare Technologies, Inc.",605656,51256667,GEHC
"Baxter International, Inc.",1618175,57963029,BAX
"Warner Bros. Discovery, Inc.",6865004,59382285,WBD
"AbbVie, Inc.",376390,69752595,ABBV
Morgan Stanley,787320,81259297,MS
"Becton, Dickinson and Co.",393804,94930392,BDX
DXC Technology Co.,4726450,96135993,DXC
"Henry Schein, Inc.",1513826,108904642,HSIC
General Electric Co.,832090,141621718,GE
Medtronic PLC,1345021,108032087,MDT
"Humana, Inc.",305506,110474024,HUM
"Comcast Corp., Class A",2727633,112569414,CMCSA
"CF Industries Holdings, Inc.",1513413,115609619,CF
"MetLife, Inc.",1533775,117870609,MET
Walt Disney Co.,1275560,119507216,DIS
Reckitt Benckiser Group PLC,2259608,121552559,RBGLY
Las Vegas Sands Corp.,3069220,121755957,LVS
"Textron, Inc.",1374456,127686962,TXT
"Corteva, Inc.",2324905,130427171,CTVA
Wabtec Corp.,832964,134232149,WAB
Kimberly-Clark Corp.,1091511,147408560,KMB
"Goldman Sachs Group, Inc.",289843,147538783,GS
"Caterpillar, Inc.",428507,148349123,CAT
"F5, Inc.",728660,148384322,FFIV
Eaton Corp. PLC,508917,155112812,ETN
Sysco Corp.,2040485,156403175,SYY
CVS Health Corp.,2595087,156561599,CVS
"eBay, Inc.",2849845,158479880,EBAY
Cognizant Technology Solutions Corp.,2216264,167726860,CTSH
"Charter Communications, Inc., Class A",448946,170473775,CHTR
"Citigroup, Inc.",2702152,175315622,C
Fifth Third Bancorp,4282577,181324310,FITB
State Street Corp.,2181167,185333760,STT
Emerson Electric Co.,1626768,190510801,EMR
"Cisco Systems, Inc.",4310391,208838444,CSCO
Exxon Mobil Corp.,1864078,221061010,XOM
"Alphabet, Inc., Class A",1302882,223496378,GOOGL
Johnson Controls International PLC,3378209,241677072,JCI
"Suncor Energy, Inc.",6182714,246813943,SU
Chevron Corp.,1546814,248217243,CVX
FedEx Corp.,827308,250053843,FDX
"Meta Platforms, Inc., Class A",546003,259258605,META
"Elevance Health, Inc.",500124,266080972,ELV
Bank of America Corp.,8108369,326848354,BAC
Wells Fargo & Co.,6208178,368393283,WFC
